band,frequency_ghz,material,source,in_validity_range,eps_real,sigma_S_per_m,loss_tangent,reflection_db_normal,reflection_db_45deg,penetration_loss_db_10cm,rss_mean_dbm,rss_std_db,fade_depth_db,delay_spread_ns,k_factor_db,coherence_bw_rule_of_thumb_mhz,angular_spread_deg,n_paths
5 GHz,5.0,metal,ITU-R P.2040-1,True,1.0,10000000.0,35950207.16904469,-0.002525611421204982,-0.0016871072416127062,inf,-37.43091905754664,5.67639341284905,22.398394366626743,4.3845285012672806,-3.604312377556468,47.865853709831086,59.23155535682487,112
5 GHz,5.0,concrete,ITU-R P.2040-1,True,5.24,0.16269578921069008,0.11162113220716667,-8.275415323442614,-5.91083576972839,11.610537139309207,-40.78954693552379,5.86130606662214,24.25235979154158,3.041952632257166,2.7167651848531182,67.274076325326,37.948210418698686,112
5 GHz,5.0,brick,ITU-R P.2040-1,True,3.91,0.03079017503334887,0.02830979977544857,-10.417423559989452,-7.383022051387985,2.5473883758959563,-41.11562780038794,5.808719637423713,23.65820272073321,2.7543775416880436,3.9073250466663456,74.56805570125405,33.028795246684666,112
5 GHz,5.0,marble,ITU-R P.2040-1,True,7.074,0.02442017138143929,0.012410379138624804,-6.868309453996356,-4.918066391730614,1.502182497769924,-40.472007982415136,5.87501357457042,24.291554393035582,3.2587493701406753,1.8266406744309234,62.872784332472854,41.393182310102496,112
5 GHz,5.0,glass,ITU-R P.2040-1,True,6.31,0.031081568332541144,0.017708222197997985,-7.319137011585921,-5.249589743666889,2.0243523311627523,-40.58287118205067,5.8679223026859475,24.265846697166022,3.1857266694724635,2.129776335832445,64.26998366882339,40.259785212908014,112
5 GHz,5.0,plasterboard,ITU-R P.2040-1,True,2.73,0.03855682326831434,0.05077383825187338,-12.169286867522203,-8.924909185205154,3.816761162481183,-41.33733714544835,5.7717383420182236,23.279110493437358,2.5255481532695674,4.956571748773672,82.12124611705472,28.828007569342763,112
5 GHz,5.0,chipboard,ITU-R P.2040-1,True,2.58,0.07614762057080285,0.10610553236240974,-12.61083924686719,-9.25621955659598,7.745558623263937,-41.3790245116795,5.771779391139601,23.233709621694235,2.47981675303047,5.165882158639397,83.88044520476896,27.983068195480282,112
5 GHz,5.0,wood,ITU-R P.2040-1,True,1.99,0.02637873157388232,0.047654314820989425,-15.35489548712961,-11.467432218858173,3.05857456036704,-41.54391586342462,5.740962437790614,22.615234958591348,2.2351166797822795,6.374565630790324,95.30319851138036,23.25230117733024,112
5 GHz,5.0,ceiling_board,ITU-R P.2040-1,True,1.48,0.006205623739422115,0.015073882367930188,-20.24097035614043,-15.578522183590422,0.8345591566408395,-41.63670197975338,5.7312579830209,21.65981827884186,1.9739424712963891,7.897891604452153,113.26654204047335,17.625298772722992,112
5 GHz,5.0,foam_board,approx,True,1.06,0.0002948522646936857,0.001,-36.74888349994505,-30.963959636100032,0.04685612390014059,-41.551658839630434,5.749511506751874,20.134772223298278,1.7873415236519965,9.356438662765905,132.75599587468156,12.620428450232257,112
5 GHz,5.0,human_body,approx,True,56.49553191854704,2.8674834008743386,0.18246862860563096,-2.2959712688752907,-1.6257940898543866,62.16177832349304,-38.76875841573885,5.8235060507351735,23.606813961702343,4.030363016885776,-1.6197842471286237,51.68075437001698,53.173250662305804,112
60 GHz,60.0,metal,ITU-R P.2040-1,True,1.0,10000000.0,2995850.5974203907,-0.07563718488116421,-0.03932234730406283,inf,-62.3584544100047,9.893804170229082,44.95531420234294,3.125420353085015,-20.691684104971884,92.6698202498288,38.1259264389247,112
60 GHz,60.0,concrete,ITU-R P.2040-1,True,5.24,1.136349391186786,0.06496818706994714,-20.666818597076123,-14.815713365848877,81.17687771025118,-74.17486371020438,16.183873558294437,45.533018559573755,2.4472954772986553,-4.920166894305307,100.8770442043928,20.936884580682733,112
