study,case,metric,value
A_wall_material,metal,reflection_db,-0.12077707566246187
A_wall_material,metal,echo_dbm,-53.91491063435369
A_wall_material,metal,echo_snr_db,12.619596116371667
A_wall_material,metal,peak_range_m,3.005731675260417
A_wall_material,concrete,reflection_db,-23.034803267224653
A_wall_material,concrete,echo_dbm,-76.259496414785
A_wall_material,concrete,echo_snr_db,-9.724989664059649
A_wall_material,concrete,peak_range_m,3.005731675260417
A_wall_material,marble,reflection_db,-6.980731809545182
A_wall_material,marble,echo_dbm,-60.72796325087269
A_wall_material,marble,echo_snr_db,5.8065434998526655
A_wall_material,marble,peak_range_m,3.005731675260417
A_wall_material,brick,reflection_db,-30.791686490690413
A_wall_material,brick,echo_dbm,-83.17326493153396
A_wall_material,brick,echo_snr_db,-16.63875818080861
A_wall_material,brick,peak_range_m,3.005731675260417
A_wall_material,glass,reflection_db,-7.331288687710033
A_wall_material,glass,echo_dbm,-61.07393039474793
A_wall_material,glass,echo_snr_db,5.460576355977423
A_wall_material,glass,peak_range_m,3.005731675260417
A_wall_material,plasterboard,reflection_db,-13.883559547186369
A_wall_material,plasterboard,echo_dbm,-67.5148657707311
A_wall_material,plasterboard,echo_snr_db,-0.9803590200057499
A_wall_material,plasterboard,peak_range_m,3.005731675260417
A_wall_material,chipboard,reflection_db,-20.593970189747075
A_wall_material,chipboard,echo_dbm,-73.97412854872799
A_wall_material,chipboard,echo_snr_db,-7.439621798002634
A_wall_material,chipboard,peak_range_m,3.005731675260417
A_wall_material,wood,reflection_db,-18.921983468237887
A_wall_material,wood,echo_dbm,-72.37853549695072
A_wall_material,wood,echo_snr_db,-5.844028746225362
A_wall_material,wood,peak_range_m,3.005731675260417
A_wall_material,ceiling_board,reflection_db,-28.147029948326146
A_wall_material,ceiling_board,echo_dbm,-80.892003959806
A_wall_material,ceiling_board,echo_snr_db,-14.357497209080648
A_wall_material,ceiling_board,peak_range_m,3.005731675260417
A_wall_material,human_body,reflection_db,-5.649176054217938
A_wall_material,human_body,echo_dbm,-59.40422009163517
A_wall_material,human_body,echo_snr_db,7.1302866590901886
A_wall_material,human_body,peak_range_m,3.005731675260417
A_wall_material,foam_board,reflection_db,-40.33272475173141
A_wall_material,foam_board,echo_dbm,-90.2673022880538
A_wall_material,foam_board,echo_snr_db,-23.732795537328442
A_wall_material,foam_board,peak_range_m,3.005731675260417
B_nlos_board,no board,target_echo_dbm,-50.79256829143476
B_nlos_board,no board,target_snr_db,15.741938459290594
B_nlos_board,no board,excess_loss_db,0.0
B_nlos_board,plastic_board,target_echo_dbm,-52.79981120982555
B_nlos_board,plastic_board,target_snr_db,13.734695540899807
B_nlos_board,plastic_board,excess_loss_db,-2.007242918390787
B_nlos_board,paper_board,target_echo_dbm,-54.11994731198746
B_nlos_board,paper_board,target_snr_db,12.414559438737896
B_nlos_board,paper_board,excess_loss_db,-3.327379020552698
B_nlos_board,foam_board,target_echo_dbm,-51.16028970436648
B_nlos_board,foam_board,target_snr_db,15.37421704635888
B_nlos_board,foam_board,excess_loss_db,-0.367721412931715
